scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,240,5423,92,12392,12484,6969,7061,6969
FCFS,327,5442,82,12484,12566,7042,7124,7042
FCFS,150,5450,74,12566,12640,7116,7190,7116
FCFS,90,5463,19,12640,12659,7177,7196,7177
FCFS,49,5486,42,12659,12701,7173,7215,7173
FCFS,162,5530,58,12701,12759,7171,7229,7171
FCFS,233,5534,45,12759,12804,7225,7270,7225
FCFS,192,5535,33,12804,12837,7269,7302,7269
FCFS,464,5536,68,12837,12905,7301,7369,7301
FCFS,254,5539,94,12905,12999,7366,7460,7366
FCFS,161,5575,8,12999,13007,7424,7432,7424
FCFS,9,5578,13,13007,13020,7429,7442,7429
FCFS,259,5592,79,13020,13099,7428,7507,7428
FCFS,153,5592,72,13099,13171,7507,7579,7507
FCFS,343,5596,45,13171,13216,7575,7620,7575
FCFS,294,5600,84,13216,13300,7616,7700,7616
FCFS,95,5618,74,13300,13374,7682,7756,7682
FCFS,351,5625,63,13374,13437,7749,7812,7749
FCFS,64,5675,17,13437,13454,7762,7779,7762
FCFS,377,5691,3,13454,13457,7763,7766,7763
FCFS,268,5699,38,13457,13495,7758,7796,7758
FCFS,470,5726,47,13495,13542,7769,7816,7769
FCFS,461,5732,5,13542,13547,7810,7815,7810
FCFS,5,5734,96,13547,13643,7813,7909,7813
FCFS,484,5745,10,13643,13653,7898,7908,7898
FCFS,225,5759,74,13653,13727,7894,7968,7894
FCFS,190,5791,30,13727,13757,7936,7966,7936
FCFS,344,5801,27,13757,13784,7956,7983,7956
FCFS,324,5854,19,13784,13803,7930,7949,7930
FCFS,184,5855,69,13803,13872,7948,8017,7948
FCFS,157,5864,8,13872,13880,8008,8016,8008
FCFS,450,5878,51,13880,13931,8002,8053,8002
FCFS,438,5881,36,13931,13967,8050,8086,8050
FCFS,98,5892,39,13967,14006,8075,8114,8075
FCFS,288,5895,4,14006,14010,8111,8115,8111
FCFS,145,5915,16,14010,14026,8095,8111,8095
FCFS,363,5919,56,14026,14082,8107,8163,8107
FCFS,402,5949,100,14082,14182,8133,8233,8133
FCFS,123,5977,32,14182,14214,8205,8237,8205
FCFS,347,5986,47,14214,14261,8228,8275,8228
FCFS,492,5988,2,14261,14263,8273,8275,8273
FCFS,360,6002,52,14263,14315,8261,8313,8261
FCFS,275,6015,51,14315,14366,8300,8351,8300
FCFS,133,6019,19,14366,14385,8347,8366,8347
FCFS,318,6102,27,14385,14412,8283,8310,8283
FCFS,100,6184,45,14412,14457,8228,8273,8228
FCFS,251,6197,54,14457,14511,8260,8314,8260
FCFS,48,6235,53,14511,14564,8276,8329,8276
FCFS,6,6265,37,14564,14601,8299,8336,8299
FCFS,102,6278,92,14601,14693,8323,8415,8323
FCFS,236,6287,62,14693,14755,8406,8468,8406
FCFS,206,6287,77,14755,14832,8468,8545,8468
FCFS,369,6293,78,14832,14910,8539,8617,8539
FCFS,250,6295,65,14910,14975,8615,8680,8615
FCFS,452,6303,57,14975,15032,8672,8729,8672
FCFS,81,6331,86,15032,15118,8701,8787,8701
FCFS,136,6374,18,15118,15136,8744,8762,8744
FCFS,21,6396,19,15136,15155,8740,8759,8740
FCFS,17,6420,89,15155,15244,8735,8824,8735
FCFS,72,6439,27,15244,15271,8805,8832,8805
FCFS,370,6457,88,15271,15359,8814,8902,8814
FCFS,433,6484,55,15359,15414,8875,8930,8875
FCFS,186,6528,25,15414,15439,8886,8911,8886
FCFS,215,6546,81,15439,15520,8893,8974,8893
FCFS,173,6585,73,15520,15593,8935,9008,8935
FCFS,361,6614,79,15593,15672,8979,9058,8979
FCFS,232,6616,51,15672,15723,9056,9107,9056
FCFS,431,6617,95,15723,15818,9106,9201,9106
FCFS,356,6655,36,15818,15854,9163,9199,9163
FCFS,439,6665,24,15854,15878,9189,9213,9189
FCFS,142,6668,1,15878,15879,9210,9211,9210
FCFS,226,6694,83,15879,15962,9185,9268,9185
FCFS,325,6709,21,15962,15983,9253,9274,9253
FCFS,96,6736,90,15983,16073,9247,9337,9247
FCFS,475,6748,38,16073,16111,9325,9363,9325
FCFS,156,6776,28,16111,16139,9335,9363,9335
FCFS,390,6799,86,16139,16225,9340,9426,9340
FCFS,455,6833,75,16225,16300,9392,9467,9392
FCFS,74,6863,5,16300,16305,9437,9442,9437
FCFS,63,6873,58,16305,16363,9432,9490,9432
FCFS,137,6892,47,16363,16410,9471,9518,9471
FCFS,284,6893,51,16410,16461,9517,9568,9517
FCFS,442,6905,66,16461,16527,9556,9622,9556
FCFS,117,6910,33,16527,16560,9617,9650,9617
FCFS,119,6938,6,16560,16566,9622,9628,9622
FCFS,269,6944,50,16566,16616,9622,9672,9622
FCFS,13,6949,30,16616,16646,9667,9697,9667
FCFS,387,6966,39,16646,16685,9680,9719,9680
FCFS,350,6971,94,16685,16779,9714,9808,9714
FCFS,420,7004,53,16779,16832,9775,9828,9775
FCFS,292,7022,74,16832,16906,9810,9884,9810
FCFS,385,7027,28,16906,16934,9879,9907,9879
FCFS,125,7035,61,16934,16995,9899,9960,9899
FCFS,46,7041,57,16995,17052,9954,10011,9954
FCFS,388,7079,57,17052,17109,9973,10030,9973
FCFS,214,7098,92,17109,17201,10011,10103,10011
FCFS,50,7099,58,17201,17259,10102,10160,10102
FCFS,204,7125,27,17259,17286,10134,10161,10134
FCFS,243,7158,39,17286,17325,10128,10167,10128
FCFS,490,7164,13,17325,17338,10161,10174,10161
FCFS,342,7206,90,17338,17428,10132,10222,10132
FCFS,84,7208,89,17428,17517,10220,10309,10220
FCFS,105,7215,92,17517,17609,10302,10394,10302
FCFS,426,7253,94,17609,17703,10356,10450,10356
FCFS,1,7270,96,17703,17799,10433,10529,10433
FCFS,177,7280,92,17799,17891,10519,10611,10519
FCFS,301,7339,77,17891,17968,10552,10629,10552
FCFS,341,7343,78,17968,18046,10625,10703,10625
FCFS,115,7385,25,18046,18071,10661,10686,10661
FCFS,441,7390,6,18071,18077,10681,10687,10681
FCFS,185,7392,47,18077,18124,10685,10732,10685
FCFS,154,7392,76,18124,18200,10732,10808,10732
FCFS,244,7400,26,18200,18226,10800,10826,10800
FCFS,415,7404,59,18226,18285,10822,10881,10822
FCFS,130,7408,75,18285,18360,10877,10952,10877
FCFS,435,7421,3,18360,18363,10939,10942,10939
